timestamp	inserts_total	inserts_failed_total	buffer_overflows_total	any_container_restarted	non_watchdog_alerts_firing	db_size_mb
2026-08-10T08:34:21Z	4965	0	0	no	1	157
2026-08-11T04:22:14Z	107	0	0	yes	1	128
2026-08-11T04:22:35Z	139	0	0	no	1	128
2026-08-11T04:50:14Z	937	0	0	no	1	129
2026-08-11T05:05:14Z	1369	0	0	no	1	130
2026-08-11T05:45:06Z	NaN	NaN	NaN	yes	0	130
2026-08-11T05:50:14Z	28	0	0	no	0	130
2026-08-11T06:05:15Z	450	0	0	no	1	131
2026-08-11T06:20:15Z	926	0	0	no	1	132
2026-08-11T06:35:15Z	1468	0	0	no	1	133
2026-08-11T06:50:14Z	2022	0	0	no	0	133
2026-08-11T07:05:14Z	2533	0	0	no	0	134
2026-08-11T07:20:14Z	3041	0	0	no	0	135
2026-08-11T07:35:14Z	3561	0	0	no	0	135
2026-08-11T07:50:15Z	4065	0	0	no	0	136
2026-08-11T08:05:15Z	4597	0	0	no	0	137
2026-08-11T08:20:14Z	5129	0	0	no	0	138
2026-08-11T08:35:14Z	5665	0	0	no	0	138
2026-08-11T08:50:15Z	6205	0	0	no	0	139
2026-08-11T09:05:14Z	6745	0	0	no	0	140
2026-08-11T09:35:15Z	7821	0	0	no	0	141
2026-08-11T09:50:14Z	8365	0	0	no	0	142
2026-08-11T14:00:08Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-11T14:20:15Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-11T14:35:15Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-11T14:50:15Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-11T15:05:14Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-11T15:20:15Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-11T15:35:15Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-11T15:50:15Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-11T16:05:15Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-11T16:20:15Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-11T16:35:15Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-11T16:50:15Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-11T17:05:14Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-11T17:20:14Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-12T08:05:15Z	NaN	NaN	NaN	yes	NaN	NaN
2026-08-12T08:20:14Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-12T08:35:14Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-12T08:50:14Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-12T09:05:14Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-12T09:20:14Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-12T09:35:14Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-12T09:50:14Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-12T10:05:15Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-12T10:20:15Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-12T10:35:15Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-12T10:50:14Z	0	0	0	yes	0	142
2026-08-12T11:05:16Z	442	0	0	no	3	143
2026-08-12T11:20:16Z	919	0	0	no	3	144
2026-08-12T11:35:15Z	1437	0	0	no	3	145
2026-08-12T11:50:15Z	1913	0	0	no	0	145
2026-08-12T12:05:15Z	2367	0	0	no	0	146
2026-08-12T12:20:15Z	2838	0	0	no	0	147
2026-08-12T12:35:14Z	3286	0	0	no	0	148
2026-08-12T12:50:14Z	3742	0	0	no	0	150
2026-08-12T13:05:15Z	NaN	NaN	NaN	no	1	150
2026-08-12T13:20:15Z	151	0	0	no	2	151
2026-08-12T13:35:14Z	646	0	0	no	2	151
2026-08-12T13:50:14Z	1129	0	0	no	2	152
2026-08-12T14:05:14Z	1606	0	0	no	0	153
2026-08-12T14:20:14Z	2054	0	0	no	0	154
2026-08-12T14:35:15Z	2511	0	0	no	0	155
2026-08-12T14:50:14Z	2955	0	0	no	0	155
2026-08-12T15:20:14Z	3846	0	0	no	0	156
2026-08-13T01:05:14Z	NaN	NaN	NaN	yes	NaN	NaN
2026-08-13T01:20:21Z	227	0	0	yes	2	154
2026-08-13T01:35:14Z	766	0	0	no	2	155
2026-08-13T01:50:14Z	1323	0	0	no	2	156
2026-08-13T02:05:14Z	1840	0	0	no	2	157
2026-08-13T02:20:14Z	218	0	0	yes	0	157
2026-08-13T02:35:14Z	762	0	0	no	0	158
2026-08-13T02:50:14Z	1280	0	0	no	0	159
2026-08-13T03:05:15Z	1836	0	0	no	0	160
2026-08-13T03:20:14Z	2343	0	0	no	0	160
2026-08-13T03:35:14Z	2849	0	0	no	1	161
2026-08-13T03:50:14Z	3373	0	0	no	1	162
2026-08-13T04:05:15Z	3901	0	0	no	1	163
2026-08-13T04:20:15Z	4429	0	0	no	1	163
2026-08-13T04:35:14Z	88	0	0	yes	0	164
2026-08-13T04:50:15Z	586	0	0	no	0	165
2026-08-13T05:05:15Z	1140	0	0	no	0	166
2026-08-13T05:47:51Z	NaN	NaN	NaN	yes	0	166
2026-08-13T05:50:15Z	0	0	0	no	0	166
2026-08-13T06:05:15Z	446	0	0	no	0	167
2026-08-13T06:20:15Z	996	0	0	no	0	168
2026-08-13T06:35:15Z	1548	0	0	no	0	168
2026-08-13T06:50:15Z	2051	0	0	no	0	169
2026-08-13T07:05:15Z	2559	0	0	no	0	170
2026-08-13T07:20:15Z	3074	0	0	no	0	171
