timestamp	inserts_total	inserts_failed_total	buffer_overflows_total	any_container_restarted	non_watchdog_alerts_firing	db_size_mb
2026-08-13T09:05:15Z	109	0	0	no	1	13
2026-08-13T09:20:17Z	163	1	0	no	1	13
2026-08-13T09:35:15Z	80	0	0	no	1	14
2026-08-13T09:50:15Z	163	1	0	no	1	14
2026-08-13T13:35:14Z	NaN	NaN	NaN	yes	NaN	NaN
2026-08-13T13:50:18Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-13T14:05:15Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-13T14:20:16Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-13T14:35:16Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-13T15:05:16Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-13T15:20:15Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-13T15:35:15Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-13T15:50:14Z	NaN	NaN	NaN	no	NaN	NaN
2026-08-14T01:09:12Z	NaN	NaN	NaN	yes	NaN	NaN
2026-08-14T01:20:14Z	52	0	0	no	3	15
2026-08-14T01:35:14Z	156	1	0	no	1	15
2026-08-14T01:50:14Z	156	9	0	no	1	16
2026-08-14T02:05:16Z	0	0	0	no	1	16
2026-08-14T02:20:14Z	268	0	0	no	1	17
2026-08-14T02:35:14Z	988	0	0	no	1	18
2026-08-14T02:50:11Z	1708	0	0	no	1	19
2026-08-14T02:50:14Z	1708	0	0	no	1	19
2026-08-14T02:50:23Z	1708	0	0	yes	1	19
