factory_twin_asset_id,zone,room,equipment_name,equipment_type,equipment_id,physical_asset_id,serial_number,manufacturer,model,device_id,plc_scada_mes_identifier,source_system,source_record,verification_method,verified_at,verifier_or_process,mapping_status,spatial_status,identity_confidence
EQP-F1-0001,FZ-F1-0005,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0002,FZ-F1-0014,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0002-C01,FZ-F1-0014,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0002-C02,FZ-F1-0014,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0002-C03,FZ-F1-0014,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0002-C04,FZ-F1-0014,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0002-C05,FZ-F1-0014,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0002-C06,FZ-F1-0014,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0002-C07,FZ-F1-0014,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0002-C08,FZ-F1-0014,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0002-C09,FZ-F1-0014,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0003,FZ-F1-0005,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0004,FZ-F1-0005,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0005,FZ-F1-0005,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0006,FZ-F1-0005,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0007,FZ-F1-0005,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0008,FZ-F1-0005,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0009,FZ-F1-0005,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0010,FZ-F1-0005,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0011,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0012,FZ-F1-0005,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0013,FZ-F1-0005,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0015,FZ-F1-0005,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0016,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0017,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0018,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0019,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0020,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0021,FZ-F1-0005,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0022,FZ-F1-0005,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0023,FZ-F1-0005,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0024,FZ-F1-0014,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0025,,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0026,FZ-F1-0014,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0027,FZ-F1-0005,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0028,FZ-F1-0005,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0029,FZ-F1-0004,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0030,FZ-F1-0004,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0031,FZ-F1-0005,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0032,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0033,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0034,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0035,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0036,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0037,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0038,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0039,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0040,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0041,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0042,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0043,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0044,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,UNRESOLVED,
EQP-F1-0045,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0046,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0047,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0048,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0049,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
EQP-F1-0050,FZ-F1-0011,,,,,,,,,,,,,,,,UNMAPPED,MEASURED_CAD,
