factory_twin_asset_id,zone,equipment_id,physical_asset_id,device_id,source_system_id,equipment_name,equipment_type,vendor,model,serial_number,source_system,source_record,evidence_type,evidence_location,spatial_match_status,identity_match_status,mapping_status,confidence,provenance,verified_by,verified_at,review_notes
EQP-F1-0030,FZ-F1-0004,,,,,,,,,,,,NO_EVIDENCE,,MEASURED_CAD,NOT_ATTEMPTED,UNMAPPED,,,,,No identity source exists in this repository for this asset (Phase 9A audit). Spatial-cleanliness candidate only, not a claimed machine identity.
EQP-F1-0062,FZ-F1-0016,,,,,,,,,,,,NO_EVIDENCE,,MEASURED_CAD,NOT_ATTEMPTED,UNMAPPED,,,,,No identity source exists in this repository for this asset (Phase 9A audit). Spatial-cleanliness candidate only, not a claimed machine identity.
EQP-F1-0075,FZ-F1-0036,,,,,,,,,,,,NO_EVIDENCE,,MEASURED_CAD,NOT_ATTEMPTED,UNMAPPED,,,,,No identity source exists in this repository for this asset (Phase 9A audit). Spatial-cleanliness candidate only, not a claimed machine identity.
EQP-F1-0076,FZ-F1-0036,,,,,,,,,,,,NO_EVIDENCE,,MEASURED_CAD,NOT_ATTEMPTED,UNMAPPED,,,,,No identity source exists in this repository for this asset (Phase 9A audit). Spatial-cleanliness candidate only, not a claimed machine identity.
EQP-F1-0077,FZ-F1-0036,,,,,,,,,,,,NO_EVIDENCE,,MEASURED_CAD,NOT_ATTEMPTED,UNMAPPED,,,,,No identity source exists in this repository for this asset (Phase 9A audit). Spatial-cleanliness candidate only, not a claimed machine identity.
EQP-F1-0092,FZ-F1-0016,,,,,,,,,,,,NO_EVIDENCE,,MEASURED_CAD,NOT_ATTEMPTED,UNMAPPED,,,,,No identity source exists in this repository for this asset (Phase 9A audit). Spatial-cleanliness candidate only, not a claimed machine identity.
EQP-F1-0108,FZ-F1-0016,,,,,,,,,,,,NO_EVIDENCE,,MEASURED_CAD,NOT_ATTEMPTED,UNMAPPED,,,,,No identity source exists in this repository for this asset (Phase 9A audit). Spatial-cleanliness candidate only, not a claimed machine identity.
EQP-F1-0109,FZ-F1-0006,,,,,,,,,,,,NO_EVIDENCE,,MEASURED_CAD,NOT_ATTEMPTED,UNMAPPED,,,,,No identity source exists in this repository for this asset (Phase 9A audit). Spatial-cleanliness candidate only, not a claimed machine identity.
EQP-F1-0124,FZ-F1-0003,,,,,,,,,,,,NO_EVIDENCE,,MEASURED_CAD,NOT_ATTEMPTED,UNMAPPED,,,,,No identity source exists in this repository for this asset (Phase 9A audit). Spatial-cleanliness candidate only, not a claimed machine identity.
EQP-F1-0125,FZ-F1-0003,,,,,,,,,,,,NO_EVIDENCE,,MEASURED_CAD,NOT_ATTEMPTED,UNMAPPED,,,,,No identity source exists in this repository for this asset (Phase 9A audit). Spatial-cleanliness candidate only, not a claimed machine identity.
