factory_twin_asset_id,equipment_id,physical_asset_id,device_id,source_system_id,evidence_type,evidence_location,source_record,evidence_quality,mapping_status,conflict_status,verified_by,verified_at,review_notes
EQP-F1-0030,,,,,,,,NO_EVIDENCE,UNMAPPED,NONE,,,No evidence intake yet -- pilot spatial candidate only (docs/floor1/README.md)
EQP-F1-0062,,,,,,,,NO_EVIDENCE,UNMAPPED,NONE,,,No evidence intake yet -- pilot spatial candidate only (docs/floor1/README.md)
EQP-F1-0075,,,,,,,,NO_EVIDENCE,UNMAPPED,NONE,,,No evidence intake yet -- pilot spatial candidate only (docs/floor1/README.md)
EQP-F1-0076,,,,,,,,NO_EVIDENCE,UNMAPPED,NONE,,,No evidence intake yet -- pilot spatial candidate only (docs/floor1/README.md)
EQP-F1-0077,,,,,,,,NO_EVIDENCE,UNMAPPED,NONE,,,No evidence intake yet -- pilot spatial candidate only (docs/floor1/README.md)
EQP-F1-0092,,,,,,,,NO_EVIDENCE,UNMAPPED,NONE,,,No evidence intake yet -- pilot spatial candidate only (docs/floor1/README.md)
EQP-F1-0108,,,,,,,,NO_EVIDENCE,UNMAPPED,NONE,,,No evidence intake yet -- pilot spatial candidate only (docs/floor1/README.md)
EQP-F1-0109,,,,,,,,NO_EVIDENCE,UNMAPPED,NONE,,,No evidence intake yet -- pilot spatial candidate only (docs/floor1/README.md)
EQP-F1-0124,,,,,,,,NO_EVIDENCE,UNMAPPED,NONE,,,No evidence intake yet -- pilot spatial candidate only (docs/floor1/README.md)
EQP-F1-0125,,,,,,,,NO_EVIDENCE,UNMAPPED,NONE,,,No evidence intake yet -- pilot spatial candidate only (docs/floor1/README.md)
